求人番号,職種,仕事の内容,賃金,就業時間,休日,年齢,就業場所,URL
04010-01350011,ＳＥ（経験者）,・ＪＡＶＡ、ＰＨＰ、Ｃ♯、ＣＯＢＯＬ等でのＷｅｂ・オープン系システム開発,"172,000円〜525,000円","										（1）09時00分〜17時45分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0401001350011&kJKbn=1&jGSHNo=9dPoSMTSJJEH3JOAVf8fRQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
11030-00660711,システム設計・プログラム開発［千代田区］＜トライアル併用,・取引先のシステム設計・プログラム開発及びその関連作業・入社後、社内にて研修を行います。,"180,000円〜250,000円","										（1）09時00分〜17時45分
",日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1103000660711&kJKbn=1&jGSHNo=HDVF36LDM7fGZlT55XIJBw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
11030-00669111,システム設計・プログラム開発［千代田区］（経験者）,取引先のシステム設計・プログラム開発及びその関連作業・ＰＭＯ業務・ＳＥ、ＰＧ,"255,000円〜550,000円","										（1）09時00分〜17時45分
",日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1103000669111&kJKbn=1&jGSHNo=HDVF36LDM7fGZlT55XIJBw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-01639711,ＩＴコンサルタント,・ＩＴシステムに関する構想・計画策定支援・ＥＲＰに関するアセスメント・導入支援・利活用に関するコンサ,"350,000円〜750,000円","										（1）09時00分〜18時00分
",土日祝,不問,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301001639711&kJKbn=1&jGSHNo=mFy6fIm%2FngfxiGtTJkbUwg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-03149111,システム開発プロジェクトマネージャ【管理職】,Ｗｅｂ、オープン系を中心としたアプリ開発部門の管理職を担当して頂きます。これまでに管理職経験のない方でも、マネージメントにチャレンジしたい方歓迎。プレイングマネージャーとして部門を,"325,000円〜410,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304003149111&kJKbn=1&jGSHNo=ZcoZY%2Ffy1b6LZezrPFsGRg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-03463711,ＣＯＢＯＬ　ＰＧ・ＳＥ・ＰＭ,（１）銀行関係のＣＯＢＯＬ経験者（２）生保・損保関係のＣＯＢＯＬ経験者,"300,000円〜800,000円","										（1）09時10分〜17時30分
",土日祝他,不問,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304003463711&kJKbn=1&jGSHNo=nV7T2MIAUOH7WeKkQtu6oA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-03473211,ＶＢＡ・ＳＱＬ,（１）データ抽出経験者（ＶＢＡ・ＳＱＬ）（２）ＶＢＡ（Ｅｘｃｅｌ）経験者（３）ＶＢＡ（Ａｃｃｅｓｓ）経験者,"300,000円〜800,000円","										（1）09時10分〜17時30分
",土日祝他,不問,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304003473211&kJKbn=1&jGSHNo=nV7T2MIAUOH7WeKkQtu6oA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-03481811,ＰＭ／ＰＭＯ（人事関連）＆支援,ＰＭ，ＰＭＯ業務又は支援業務,"300,000円〜800,000円","										（1）09時10分〜17時30分
",土日祝他,不問,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304003481811&kJKbn=1&jGSHNo=nV7T2MIAUOH7WeKkQtu6oA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-03489111,ＰＭ・ＰＭＯ関係,（１）ＰＭ経験者（２）ＰＭＯ経験者,"300,000円〜800,000円","										（1）09時10分〜17時30分
",土日祝他,不問,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304003489111&kJKbn=1&jGSHNo=nV7T2MIAUOH7WeKkQtu6oA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-03496911,ゲーム・Ｗｅｂデザイナー関係,（１）Ｗｅｂディレクターの経験者（２）Ｕｎｉｔｙ経験者（３）Ｗｅｂデザイナー経験者,"300,000円〜800,000円","										（1）09時10分〜17時30分
",土日祝他,不問,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304003496911&kJKbn=1&jGSHNo=nV7T2MIAUOH7WeKkQtu6oA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-03502711,サーバ・ＮＷ関係,（１）Ｗｉｎｄｏｗｓサーバー設計・構築～（２）ＬｉｎｕｘＵｎｉｘサーバ設計・構築～（３）ネットワーク設計・構築～,"300,000円〜800,000円","										（1）09時10分〜17時30分
",土日祝他,不問,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304003502711&kJKbn=1&jGSHNo=nV7T2MIAUOH7WeKkQtu6oA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-03507011,損保・生保システムＰＭＯ,・要件定義・進捗、課題管理・報告資料作成（ＰＰＴ・ＷＯＲＤ）,"300,000円〜800,000円","										（1）09時10分〜17時30分
",土日祝他,不問,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304003507011&kJKbn=1&jGSHNo=nV7T2MIAUOH7WeKkQtu6oA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-03513411,システムエンジニア（ＡＷＳ、ＶＢ．ｎｅｔ、Ｃ＃いずれか）,ＡＷＳ、ＶＢ．ｎｅｔ、Ｃ＃のいずれか要件定義もしくは設計以降すべての工程対応できる方,"300,000円〜800,000円","										（1）09時10分〜17時30分
",土日祝他,不問,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304003513411&kJKbn=1&jGSHNo=nV7T2MIAUOH7WeKkQtu6oA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-03519711,システムエンジニア,ＡＷＳ、ＶＢ．ｎｅｔ、Ｃ＃のいずれか要件定義もしくは設計以降すべての工程対応できる方,"300,000円〜800,000円","										（1）09時10分〜17時30分
",土日祝他,不問,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304003519711&kJKbn=1&jGSHNo=nV7T2MIAUOH7WeKkQtu6oA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-03527711,ＲＰＡ技術者,・ＲＰＡ（Ｕｌｐａｔｈ）の開発経験・ＲＰＡ化のための業務の切り出しができること。・上記のためのコミュニケーション能力,"300,000円〜800,000円","										（1）09時10分〜17時30分
",土日祝他,不問,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304003527711&kJKbn=1&jGSHNo=nV7T2MIAUOH7WeKkQtu6oA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13080-01036611,システムエンジニア（リーダー候補）,オープン系システムのソフト開発全般をお任せします。業務に慣れて頂いたら、案件の拡大を目指して頂きます。,"400,000円〜650,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都新宿区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1308001036611&kJKbn=1&jGSHNo=RH52ai8gceaJX2IguGqpNA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13080-01043311,インフラエンジニア（リーダー候補）,サーバ／ネットワーク／データベースのインフラ全般をお任せします。業務に慣れて頂いたら、案件の拡大を目指して頂きます。,"400,000円〜650,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都新宿区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1308001043311&kJKbn=1&jGSHNo=RH52ai8gceaJX2IguGqpNA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13080-01148011,Ｍｉｃｒｏｓｏｆｔ３６５開発・導入エンジニア・正,●Ｍｉｃｒｏｓｏｆｔ３６５に関わるサービス・Ｍｉｃｒｏｓｏｆｔ３６５／ＳｈａｒｅＰｏｉｎｔを用いたサイト構築／導入・運用支援,"300,000円〜600,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都新宿区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1308001148011&kJKbn=1&jGSHNo=UjIgAKWuRigqepyysrquIQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13080-01150111,Ｊａｖａ開発エンジニア（業務系Ｗｅｂアプリケーション）正,●受託開発による業務Ｗｅｂアプリ開発（Ｊａｖａ）・生産管理、販売管理系Ｗｅｂアプリのスクラッチ開発・設計～開発～テスト（ＳＥ、ＰＧ）,"300,000円〜600,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都新宿区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1308001150111&kJKbn=1&jGSHNo=UjIgAKWuRigqepyysrquIQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13080-01152811,ＰＬ兼ＳＥ：業務系Ｗｅｂアプリケーション（Ｊａｖａ）正,●受託開発による業務Ｗｅｂアプリ開発のＰＬ兼ＳＥ・生産管理、販売管理系Ｗｅｂアプリのスクラッチ開発（設計～開発～テスト）,"350,000円〜700,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都新宿区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1308001152811&kJKbn=1&jGSHNo=UjIgAKWuRigqepyysrquIQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13080-01154511,Ｊａｖａ開発エンジニア（在宅勤務可能）正,●受託開発による業務Ｗｅｂアプリ開発（Ｊａｖａ）・生産管理、販売管理系Ｗｅｂアプリのスクラッチ開発・設計～開発～テスト（ＳＥ、ＰＧ）,"300,000円〜600,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都新宿区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1308001154511&kJKbn=1&jGSHNo=UjIgAKWuRigqepyysrquIQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13080-01177111,◆説明会開催◆ＳＡＰ運用保守業務（正社員）,ＳＡＰ（Ｒ４／ＨＡＮＡ／ＢＡＳＩＳ）の運用及び保守開発業務をご担当していただきます。【運用業務】,"300,000円〜450,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都新宿区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1308001177111&kJKbn=1&jGSHNo=ukunCJH3WqjT5HQ7Qw6e4g%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13080-01189511,◆増員募集◆社内インフラ運用・保守（正社員）,社内インフラの監視や検証業務になります。各拠点間の接続やインターネット回線の監視を行い、障害対応に対応いただくのがメインとなります。,"250,000円〜300,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都新宿区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1308001189511&kJKbn=1&jGSHNo=ukunCJH3WqjT5HQ7Qw6e4g%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13080-01192911,◆説明会開催◆Ｊａｖａ開発エンジニア（正社員）,●業務Ｗｅｂアプリ開発（Ｊａｖａ）情報通信系会社のシステム保守開発がメインとなります。・フレームワークを使用したフロントエンド開発,"250,000円〜400,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都新宿区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1308001192911&kJKbn=1&jGSHNo=ukunCJH3WqjT5HQ7Qw6e4g%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13080-01198411,◆説明会開催◆固定回線開発プロジェクト推進業務（正社員）,【ＰＳＴＮマイグレーション／ＮＧＮ／ＰＭＯ】音声通信ネットワーク経験者募集しております。ＰＳＴＮマイグレーションの開発プロジェクトで進捗管理や,"300,000円〜360,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都新宿区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1308001198411&kJKbn=1&jGSHNo=ukunCJH3WqjT5HQ7Qw6e4g%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
27020-01540611,Ｃ＋＋エンジニア,組込みソフトウェア開発エンジニア・・・各種家電メーカーや車載メ－カーの製品の制御システムや組込み系ソフトウェア開発を担当いただきます。,"200,000円〜300,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2702001540611&kJKbn=1&jGSHNo=9tQhUgDrRG3eXj6KWENMbA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
27020-01559911,【東京】Ｓａｌｅｓｆｏｒｃｅ開発,Ｓａｌｅｓｆｏｒｃｅを使用した開発業務,"200,000円〜350,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2702001559911&kJKbn=1&jGSHNo=9tQhUgDrRG3eXj6KWENMbA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
27020-01581011,【東京】Ｃ言語プログラマ,・Ｃ言語によるシステムの開発・システム周辺、付属機器の開発,"200,000円〜250,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2702001581011&kJKbn=1&jGSHNo=9tQhUgDrRG3eXj6KWENMbA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
27020-01733511,【東京】ソフト開発リーダー,【仕事内容】ソフトウェア制御系・業務系プロジェクトリーダー業務。・社内受託ＰＪの管理,"350,000円〜550,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2702001733511&kJKbn=1&jGSHNo=9tQhUgDrRG3eXj6KWENMbA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
27020-01776411,【東京】業務系システム開発　ＰＬ・ＰＭ,★ＷＥＢ・業務系エンジニアのリーダーを求めています★【プロジェクト例】,"280,000円〜450,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2702001776411&kJKbn=1&jGSHNo=9tQhUgDrRG3eXj6KWENMbA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
27020-01780811,【東京】組込制御系開発　ＰＬ・ＰＭ,★組込制御系エンジニアのリーダーを求めています★【プロジェクト例】,"280,000円〜450,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=2702001780811&kJKbn=1&jGSHNo=9tQhUgDrRG3eXj6KWENMbA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-01224011,システム開発：ｗｅｂシステム、ＰＨＰ、Ｆｉｌｅｍａｋｅｒ,・お客様に業務内容をヒアリングし、システムを組み、そのシステム導入のフォローをして頂きます。・月１～２回程度お客様のオフィスに伺い、進捗状況確認と報告を,"200,000円〜420,000円","										（1）10時00分〜19時00分
",土日祝他,不問,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301001224011&kJKbn=1&jGSHNo=PmRuSgHe4T0%2B1krvRi1BVA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-01388311,アプリケーション開発,■仕様書に元づき実装（プログラミング）して頂きます。以下のｋｅｙｗｏｒｄに１つでもあてはまれば大丈夫です。言語（Ｃ／Ｃ＋＋、Ｃ＃、Ｊａｖａ、Ｐｙｔｈｏｎ、ＰＨＰ、Ｐｅ,"220,000円〜500,000円",フレックスタイム制,土日祝他,制限あり,東京都中央区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301001388311&kJKbn=1&jGSHNo=Y26bDyHHhm39dHGmHe9WcQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-01392511,病院内システムの保守・運用・ヘルプデスク業務,・電子カルテシステムならびに病院内ＩＴシステムの保守・運用・将来的に医療機関（病院）での常駐型ヘルプデスク業務可能性有,"180,000円〜350,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301001392511&kJKbn=1&jGSHNo=DHuMsuELMQgVRLb6hNZGcg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-01405211,業務系システムエンジニア,人事労務・会計の業務システムの社内開発を主な業務としており、設計作業からシステムテストまで携わって頂きます。大手メーカーから受注しており、発注元の大手メーカーと一緒にエンドユーザ,"280,000円〜450,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301001405211&kJKbn=1&jGSHNo=M9EHAtUacvsHAvgkJrQzsg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-02293611,検証・テスト業務,・システムの検証、テスト業務・仕様書に基づいてテストを行なって頂きます。,"180,000円〜250,000円","										（1）09時00分〜18時00分
",土日祝他,不問,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304002293611&kJKbn=1&jGSHNo=dMz3guFmrgh2GDvwKU0eNQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-02572611,ＬｉｎｕｘＳｅｒｖｅｒ構築・保守,・ＬｉｎｕｘＯＳの設計～構築。・統合管理ツール、バックアップ、冗長化等の設計～構築。※ＲｅｄＨａｔＥｎｔｅｒｐｒｉｓｅＬｉｎｕｘの経験者優,"200,000円〜400,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304002572611&kJKbn=1&jGSHNo=U%2FRy%2Bg59vOih1wLNsR4QXw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13080-00718211,ＩＴインフラ環境構築エンジニア,・企業のＩＴインフラ拡張および整備のための設計構築業務、またはその補助業務,"200,000円〜466,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都新宿区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1308000718211&kJKbn=1&jGSHNo=Z3HQAev3hVyDCr5lX4oNzQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13080-00730911,システムエンジニア・プログラマー,Ｗｅｂシステムの設計・開発アプリケーションシステムの設計・開発,"195,000円〜255,000円","										（1）09時00分〜17時30分
",土日祝他,制限あり,東京都新宿区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1308000730911&kJKbn=1&jGSHNo=WzQmDmmxvIWazkEf%2BCmAbA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13080-00742511,インフラエンジニア、システムエンジニア,■Ｗｉｎｄｏｗｓ、Ｌｉｎｕｘサーバ及びインフラ設計構築、運用業務■製品ミドルウェア設計、構築、運用業務,"300,000円〜500,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都新宿区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1308000742511&kJKbn=1&jGSHNo=NWGQmGAPaFOhZWqY0cO0%2FQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13080-00746611,システムエンジニア・プログラマ（ＳＡＳ）／東京支店,ＳＡＳでのシステム設計・プログラミング開発業務臨床試験、市販後調査に係るＳＡＳプログラミング,"300,000円〜500,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都新宿区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1308000746611&kJKbn=1&jGSHNo=NWGQmGAPaFOhZWqY0cO0%2FQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13080-00865411,システム開発（経験者・英語力必須）,海外拠点や日本国内で、システム開発を行って頂きます。（海外拠点における日常業務もあります）・詳細設計、製造、単体テストの実施,"300,000円〜500,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都新宿区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1308000865411&kJKbn=1&jGSHNo=%2F6cmvHfpZrcsOaqhAJCipw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
41010-00078011,ネットワーク技術者（転勤なし）,◎ＩＳＰ業務全般、及びネットワーク・サーバなどのインフラ設計構築、運用等（Ｗｉｎｄｏｗｓ・Ｌｉｎｕｘ等）,"235,000円〜505,000円",フレックスタイム制,土日祝他,制限あり,佐賀県佐賀市東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4101000078011&kJKbn=1&jGSHNo=Dinzxbcm%2BQTyQBFVdFRxjQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
41010-00096311,ネットワーク技術者　将来の幹部候補（転勤あり）,◎ＩＳＰ業務全般、及びネットワーク・サーバなどのインフラ設計、構築、運用等（Ｗｉｎｄｏｗｓ・Ｌｉｎｕｘ等）,"255,000円〜505,000円",フレックスタイム制,土日祝他,制限あり,東京都千代田区佐賀県佐賀市,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4101000096311&kJKbn=1&jGSHNo=Dinzxbcm%2BQTyQBFVdFRxjQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
01240-00128411,ＳＥ／ＰＧ,ＳＥ業務に従事していただきます。デザイン・ＪＡＶＡなどの開発、ａｄｏｂｅ（フォトショなど）、,"175,000円〜275,000円","										（1）09時00分〜18時00分
",土日祝他,不問,北海道札幌市北区東京都品川区東京都新宿区東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0124000128411&kJKbn=1&jGSHNo=fvy6qUdLCnXvD3PDKgBDoA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
12110-00101711,ソフトウェア・システム開発技術者（未経験可）トライアル併,○各種言語（ＪＡＶＡ・ＣＯＢＯＬ・ＶＢ・Ｃ♯・．ｎｅｔ・Ｄｅｌｐｈｉ等）による各種業務用ソフトウェアの開発,"168,000円〜218,200円","										（1）09時00分〜18時00分
",土日祝他,制限あり,千葉県大網白里市千葉県千葉市中央区千葉県千葉市美浜区東京都中央区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1211000101711&kJKbn=1&jGSHNo=t9%2BKfM5zqxfFPMu6veLWkA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
